Recording;Frequency in list;Note in list;Error;Note name;Freq theorical;Dif freq;Cents;Tuned
647.5;659.2551138257397;E5;11.755113825739727;E4;329.62755691287;317.87244308713;-1168.8520028591079;False
344.5;349.2282314330039;F4;4.728231433003884;F4;349.2282314330039;-4.728231433003884;23.59944898444185;True
366.0;369.9944227116344;F4#;3.9944227116343995;F4#;369.9944227116344;-3.9944227116343995;18.791850288740452;True
388.0;391.9954359817493;G4;3.995435981749324;G4;391.9954359817493;-3.995435981749324;17.736245605038306;True
409.5;415.3046975799451;G4#;5.8046975799451275;G4#;415.3046975799451;-5.8046975799451275;24.368086260380938;True
434.5;440.0;A4;5.5;A4;440.0;-5.5;21.776816052311425;True
462.0;466.1637615180898;A4#;4.163761518089814;A4#;466.1637615180898;-4.163761518089814;15.532806530322237;True
485.0;493.88330125612424;B4;8.883301256124241;B4;493.88330125612424;-8.883301256124241;31.422531740203965;True
513.5;523.2511306011972;C5;9.751130601197247;C5;523.2511306011972;-9.751130601197247;32.56709664775745;True
546.5;554.3652619537442;C5#;7.865261953744152;C5#;554.3652619537442;-7.865261953744152;24.738433423305906;True
579.0;587.3295358348153;D5;8.32953583481526;D5;587.3295358348153;-8.32953583481526;24.72821064250797;True
614.5;622.2539674441618;D5#;7.7539674441618445;D5#;622.2539674441618;-7.7539674441618445;21.708615782397576;True
652.0;659.2551138257397;E5;7.255113825739727;E5;659.2551138257397;-7.255113825739727;19.15787115229802;True
692.0;698.4564628660079;F5;6.456462866007882;F5;698.4564628660079;-6.456462866007882;16.07778306552215;True
734.0;739.9888454232688;F5#;5.988845423268799;F5#;739.9888454232688;-5.988845423268799;14.068152817736335;True
770.0;783.9908719634984;G5;13.99087196349842;G5;783.9908719634984;-13.99087196349842;31.174093530874636;True
824.5;830.6093951598904;G5#;6.109395159890369;G5#;830.6093951598904;-6.109395159890369;12.78083610463108;True
864.0;880.0;A5;16.0;A5;880.0;-16.0;31.766653633429414;True
922.5;932.3275230361796;A5#;9.827523036179628;A5#;932.3275230361796;-9.827523036179628;18.345535092280873;True
978.5;987.7666025122485;B5;9.266602512248483;B5;987.7666025122485;-9.266602512248483;16.3180074774273;True
1036.0;1046.5022612023945;C6;10.502261202394493;C6;1046.5022612023945;-10.502261202394493;17.461711005726947;True
1101.0;1108.7305239074883;C6#;7.730523907488305;C6#;1108.7305239074883;-7.730523907488305;12.113151952348677;True
1157.5;1174.6590716696305;D6;17.15907166963052;D6;1174.6590716696305;-17.15907166963052;25.475882452473535;True
1229.0;1244.5079348883237;D6#;15.507934888323689;D6#;1244.5079348883237;-15.507934888323689;21.708615782397576;True
1306.0;1318.5102276514795;E6;12.510227651479454;E6;1318.5102276514795;-12.510227651479454;16.504638373874183;True
1377.0;1396.9129257320158;F6;19.912925732015765;F6;1396.9129257320158;-19.912925732015765;24.856243267634778;True
