Recording;Frequency in list;Note in list;Error;Note name;Freq theorical;Dif freq;Cents;Tuned
367.75;369.9944227116344;F4#;2.2444227116343995;A0;27.5;340.25;-4489.466181276205;False
464.75;466.1637615180898;A4#;1.4137615180898138;A0#;29.13523509488062;435.6147649051194;-4794.741609673786;False
453.0;440.0;A4;13.0;B0;30.867706328507758;422.1322936714922;-4650.40903182589;False
230.25;233.08188075904496;A3#;2.8318807590449637;C1;32.70319566257483;197.54680433742516;-3378.837159080011;False
137.5;138.59131548843604;C3#;1.091315488436038;C1#;34.64782887210901;102.85217112789098;-2386.313713864835;False
220.0;220.0;A3;0.0;D1;36.70809598967595;183.29190401032406;-3100.0;False
234.25;233.08188075904496;A3#;1.1681192409550363;D1#;38.890872965260115;195.35912703473988;-3108.654628961433;False
248.5;246.941650628062;B3;1.558349371937993;E1;41.20344461410874;207.29655538589125;-3110.890793645152;False
217.25;220.0;A3;2.75;F1;43.653528929125486;173.59647107087451;-2778.2231839476885;False
229.5;233.08188075904496;A3#;3.5818807590449637;F1#;46.2493028389543;183.2506971610457;-2773.1887558669778;False
243.25;246.941650628062;B3;3.691650628062007;G1;48.99942949771866;194.25057050228133;-2773.9235375077424;False
205.5;207.65234878997256;G3#;2.1523487899725637;G1#;51.91308719749314;153.58691280250684;-2381.961844188428;False
218.0;220.0;A3;2.0;A1;55.0;163.0;-2384.18953350272;False
232.25;233.08188075904496;A3#;0.8318807590449637;A1#;58.27047018976124;173.97952981023877;-2393.810087429592;False
122.75;123.470825314031;B2;0.7208253140310035;B1;61.735412657015516;61.014587342984484;-1189.8634009480404;False
261.75;261.6255653005986;C4;0.12443469940137675;C2;65.40639132514966;196.34360867485034;-2400.823216087379;False
206.75;207.65234878997256;G3#;0.9023487899725637;C2#;69.29565774421802;137.45434225578197;-1892.4605667759383;False
219.5;220.0;A3;0.5;D2;73.4161919793519;146.08380802064812;-1896.0608992128382;False
232.75;233.08188075904496;A3#;0.3318807590449637;D2#;77.78174593052023;154.96825406947977;-1897.5331728409608;False
245.5;246.941650628062;B3;1.441650628062007;E2;82.40688922821748;163.0931107717825;-1889.8634009480404;False
348.75;349.2282314330039;F4;0.4782314330038844;F2;87.30705785825097;261.44294214174903;-2397.627631830268;False
369.0;369.9944227116344;F4#;0.9944227116343995;F2#;92.4986056779086;276.5013943220914;-2395.3407510428833;False
97.5;97.99885899543732;G2;0.4988589954373168;G2;97.99885899543732;-0.4988589954373168;8.835279730058707;True
207.0;207.65234878997256;G3#;0.6523487899725637;G2#;103.82617439498628;103.17382560501372;-1194.5526927695987;False
219.75;220.0;A3;0.25;A2;110.0;109.75;-1198.0315699424934;False
349.0;349.2282314330039;F4;0.22823143300388438;A2#;116.54094037952248;232.45905962047752;-1898.868215221991;False
246.5;246.941650628062;B3;0.44165062806200694;B2;123.470825314031;123.029174685969;-1196.9009474239028;False
260.5;261.6255653005986;C4;1.1255653005986233;C3;130.8127826502993;129.6872173497007;-1192.5358185046184;False
278.0;277.1826309768721;C4#;0.8173690231279238;C3#;138.59131548843604;139.40868451156396;-1205.0976310386177;False
442.25;440.0;A4;2.25;D3;146.83238395870376;295.41761604129624;-1908.8303429989587;False
311.5;311.1269837220809;D4#;0.37301627791907777;D3#;155.56349186104046;155.93650813895954;-1202.0743673992106;False
330.75;329.62755691287;E4;1.1224430871300228;E3;164.813778456435;165.936221543565;-1205.8851593048203;False
351.25;349.2282314330039;F4;2.0217685669961156;F3;174.61411571650194;176.63588428349806;-1209.9936419003545;False
373.0;369.9944227116344;F4#;3.0055772883656005;F3#;184.9972113558172;188.0027886441828;-1214.006528076694;False
197.5;195.99771799087466;G3;1.502282009125338;G3;195.99771799087466;1.502282009125338;-13.218955447766694;True
208.5;207.65234878997256;G3#;0.8476512100274363;G3#;207.65234878997256;0.8476512100274363;-7.052631904004942;True
221.5;220.0;A3;1.5;A3;220.0;1.5;-11.763810036430462;True
234.25;233.08188075904496;A3#;1.1681192409550363;A3#;233.08188075904496;1.1681192409550363;-8.654628961432547;True
496.75;493.88330125612424;B4;2.8666987438757587;B3;246.941650628062;249.808349371938;-1210.0197324700132;False
525.25;523.2511306011972;C5;1.9988693988027535;C4;261.6255653005986;263.6244346994014;-1206.6008797780635;False
558.0;554.3652619537442;C5#;3.6347380462558476;C4#;277.1826309768721;280.8173690231279;-1211.3139179654338;False
590.0;587.3295358348153;D5;2.6704641651847396;D4;293.6647679174075;296.3352320825925;-1207.853716869453;False
622.25;622.2539674441618;D5#;0.003967444161844469;D4#;311.1269837220809;311.1230162779191;-1199.9889617476515;False
329.0;329.62755691287;E4;0.6275569128699772;E4;329.62755691287;-0.6275569128699772;3.2991277473020415;True
349.25;349.2282314330039;F4;0.021768566996115624;F4;349.2282314330039;0.021768566996115624;-0.10791026176427411;True
370.5;369.9944227116344;F4#;0.5055772883656005;F4#;369.9944227116344;0.5055772883656005;-2.364022537409007;True
392.75;391.9954359817493;G4;0.7545640182506759;G4;391.9954359817493;0.7545640182506759;-3.329302123443911;True
415.0;415.3046975799451;G4#;0.3046975799451275;G4#;415.3046975799451;-0.3046975799451275;1.2706247484471267;True
440.75;440.0;A4;0.75;A4;440.0;0.75;-2.9484549546263823;True
